Language,language family,secondary family,ISO code,Stress system type,Rightward primary stress,Consonant duration,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s),"Uses contrastive length, duration is a correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast,,"Duration is a correlate, something written as a primary correlate","REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 1 REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 2 REMOVE: duration is a correlate, something written as primary correlate",Trying for pitch to make sure the same thing is true,,TO REMOVE FOR CONSONANT DURATION: duration primary correlate,oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate,"TO REMOVE FOR CONSONANT DURATION: pitch primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes pitch","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes intensity",oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,"oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes pitch",,"TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration correlate","TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration not correlate",,"Have one stress per word, have rightward stress; 1=final stress","Have final stress, pitch as correlate","Have final stress, pitch not a correlate",,"Have vowel reduction, have duration as a correlate","Have vowel reduction, don't have duration as a correlate","Don't have vowel reduction, have duration as a correlate","Don't have vowel reduction, don't have duration as a correlate",,"Has vowel reduction, is binary","Has vowel reduction, is not binary","Doesn't have vowel reduction, is binary","Doesn't have vowel reduction, is not binary",,"Has vowel reduction, has duration as a correlate, is binary","Has vowel reduction, doesn't have duration as a correlate, is binary","Doesn't have vowel reduction, has duration as a correlate, is binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is binary",,"Has vowel reduction, has duration as a correlate, is not binary","Has vowel reduction, doesn't have duration as a correlate, is not binary","Doesn't have vowel reduction, has duration as a correlate, is not binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is not binary",,"Just checking: Intensity is primary correlate, intensity is not a correlate","Just checking: Pitch is primary correlate, pitch is not a correlate","Duration is primary correlate, duration is not a correlate","Length contrasts, duration is primary correlate","Length contrasts, duration is not primary correlate (but is still correlate); includes blanks","Length contrasts, duration is not primary correlate (but is still correlate); NO blanks","Length does not contrast, duration is primary correlate","Length does not contrast, duration is not primary correlate (but is still a correlate); includes blanks","Length does not contrast, duration is not primary correlate (but is still a correlate); NO blanks","TO REMOVE FROM DURATION: length contrasts, duration is primary correlate","TO REMOVE FROM DURATION: length contrasts, duration is not primary correlate but still a correlate)","TO REMOVE FROM DURATION: length does not contrast, duration is primary correlate","TO REMOVE FROM DURATION: length does not contrast, duration is not primary correlate (but is still a correlate)",,"Pitch contrasts, pitch is a primary correlate","Pitch does not contrast, pitch is a primary correlate","Pitch contrasts, pitch is not a primary correlate","Pitch does not contrast, pitch is not a primary correlate",,Has intensity AND has pitch,Has intensity and DOES NOT have pitch,"Does NOT have intensity, HAS pitch",Has intensity AND pitch and DOES NOT have duration,Has duration AND intensity but NOT pitch,Has duration AND pitch but NOT intensity,,"Is binary, has final lapse","Is binary, does not have final lapse","Has final lapse, has duration as a correlate","Has final lapse, does not have duration as a correlate","Does not have final lapse, has duration as a correlate","Does not have final lapse, does not have duration as a correlate",,"Has final lapse, has duration as a correlate, is leftward","Has final lapse, does not have duration as a correlate, is leftward","Does not have final lapse, has duration as a correlate, is leftword","Does not have final lapse, does not have duration as a correlate, is leftword",,"Has final lapse, is leftward","Does not have final lapse, is leftward","Has final lapse, is rightward","Does not have final lapse, is rightward"
Mongghul (Karlong),Semitic,Central Semitic,,2,0,,1,1,1,,1,1,,0,,,"Metcalfe (1971), Bowern (2004)",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Mohawk,Algonquin,Central,,0,1,,0,1,1,,0,3,,0,,,Gallagher & Baehr (2005),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Tepehua (Huehuetla),Mixe-Zoque,Mixean,,2,1,,1,,1,,0,1,,0,,,Du (2010),TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karitiana,Austronesian,Malayo-Polynesian,,0,,,0,1,1,,0,1,,0,,,"Wedekind, Wedekind, & Musa (2008), Vanhove (2014)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Tarahumara,Iroquoian,Northern,,0,1,,1,0,0,1,0,0,,0,,,McCracken (2012),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumai,Tai–Kadai,Tai,,2,1,,0,1,1,,1,1,,0,,,Shukla (1981),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Gayo,Australian,Pama-Nyungan,,0,1,,1,1,1,,0,1,1,0,,,van den Heuvel (2006),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Witsuwit'en,Mayan,Kanjobalan-Chujean,,0,,,1,,,,0,0,,0,,,Stone (1994),,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,Semitic,Central Semitic,,0,0,1,1,1,1,,,2,,0,,,Lindskoog & Brend (1962),TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Tukang Besi,Austronesian,Malayo-Polynesian,,1,1,,1,0,0,1,0,1,,0,0,,"Wolff (1972), Shryock (1993), Tanangkingsing (2009)",TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Toratán,Australian,Gunwingguan,,1,1,,1,1,1,,1,1,,1,0,,"Gordon (2004); Gordon & Munro (2007); Gordon, Munro & Ladefoged (2000)",TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Q'eqchi' (K'ekchi),Isolate,,,0,1,,0,0,1,3,0,0,,0,,,Krueger (1961),,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Pomo (Southern),Sino-Tibetan,Tibeto-Kanauri,,0,1,,0,1,1,2,1,0,,0,,,"Wolfart & Carroll (1981), Swain (2008)",,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Tsakhur,Panoan,Mainline Panoan,,0,1,,0,1,0,2,0,1,,1,,,Martin (2011),,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Moghol,Trans-New Guinea,South Bird's Head,,1,0,,0,1,0,2,0,1,,0,0,,Dubeda & Votrubec (2005); Short (2002); Janda & Townsend (2000),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,TRUE,,
Creek,Dené–Yeniseian,Athabaskan,,0,0,,1,1,0,,1,3,,1,,,"Fischer-Jørgensen (1984), Haberland (1994), Koefoed (1985), Basbøll (2005)",,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Barok (Usen),Aymaran,Jaqaru,,0,0,,1,0,0,1,0,1,,0,,,Sapir (1969),TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icelandic,Australian,Pama-Nyungan,,1,1,,1,0,1,,0,0,,0,1,,"Sluijter & van Heuven (1996); Gussenhoven & van der Vliet (1998), Crosswhite (2001); Goedemans (2010)",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Nisenan,Sepik-Ramu,Sepik,,2,0,,1,0,0,1,1,0,,0,,,Filchenko (2007),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apuriña,Uralic,Finno-Ugric,,1,1,,1,0,1,,0,0,,0,0,,Gordon & Rose (2006),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Bhojpuri,Tupian,Tupi–Guaraní,,1,0,,1,0,0,1,0,1,,0,0,,Künnap (1999),TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Arabela,Austronesian,Malayo-Polynesian,,1,1,,1,0,1,,1,0,1,0,1,,"Fry (1955, 1958); Beckman & Edwards (1994); Crosswhite (2001)",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Finnish,Semitic,Central Semitic,,0,1,,0,1,0,2,0,1,,0,,,"Mercer (1961), Dillmann & Bezold (1907/2005)",,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Tongan,Mayan,Quichean–Mamean,,0,0,1,1,0,1,1,0,1,,1,,,Van de Velde (2008),TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Pomo (Eastern),Cariban,Guianan Carib,,1,1,,0,1,0,2,0,2,,0,0,,Milner (1956); Dixon (1988),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Tagalog,Paezan,Páez,,1,0,2,1,0,0,1,0,1,,0,1,,"Engstrand & Krull (1994), Suomi & Ylitalo (2004), Suomen, Toivanen, & Ylitalo (2008)",TRUE,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Cebuano,Senagi,Dera,,2,1,,1,1,0,,1,0,,0,,,Eades (2005),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Konkow,Arawakan,Southern,,1,1,,1,0,1,,0,0,1,0,1,,Jessen (1999); Mooshammer & Geng (2008),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Shuswap,Indo-European,Indo-Iranian,,0,1,,1,1,0,,0,0,,0,,,Vogel et al (2016); Arvaniti (1992); Arvaniti (1999); Arvaniti (2000),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Italian,Uralic,Samoyedic,,0,0,,0,1,1,,0,1,,0,,,Suttles (2004),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Savosavo,Mura,,,0,0,,0,1,1,,0,1,,1,,,Suttles (2004),,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Awara,Isolate,,,1,1,,1,0,0,1,0,0,,0,0,,"Ravid & Shlesinger (2001), Becker (2003), Bolozky (1997)",,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Mangghuer,Salishan,Interior Salish,,0,1,,1,1,0,2,1,0,,0,,,Kim (2005),,,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Jarawara,Austronesian,Central-Eastern,,1,0,,0,1,1,2,1,1,1,0,0,,White and Mády (2008); Blaho and Szeredi (2011); Szeredi (2009); Rounds (2009); Vogel et al (2016),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,TRUE,,
Enets,Salishan,Coast Salish,,1,1,,1,1,1,,0,0,,1,0,,Patience (2005),,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Macedonian (Literary),Salishan,Coast,,1,0,2,1,0,0,1,0,3,,0,0,,"Árnason (1999), Crosswhite (2001)",,,,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Quechua (South Conchucos),Austroasiatic,Khasi–Palaungic,,0,,,1,1,1,2,0,1,,0,,,de Vries (2004),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Czech,Central Solomons,Savosavo,,0,1,,0,1,1,,1,0,,0,,,Jackson (2014),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Ashéninka Perené,Indo-European,Indo-Aryan,,0,0,,1,0,1,,0,1,,0,,,"Ní Chiosáin (1991, 2007), Ó Baoill (2009)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
